id	Class	agey	hispn	white	black	asian	male	educ	trump	incomec	veg_diet	income	ecocatas	humabuse	ecocrisis	nep	famsec	honpar	selfdisc	trad	equal	socjust	peace	halt	resperth	protenv	unnat	balt	excit	curious	varied	open	infl	author	wealth	self	andig	pcruel	comp	animal	biovote	bioprice	biodon	biowts	climvote	climprice	climdon	climwts	anwbvote	anwbprice	anwbdon	anwbwts	SciThinking	BT.fam	sci_rel_-1	sci_rel_2	sci_rel_3	sci_rel_4	sci_rel_5	science	religiosity	politics	edu_cat	age_cat	edu_cat_STEM	race_cat	farm_c	farm_now	farm	ag_famil
36	d	65	0	1	0	0	0	5	0	12.5	1	1	3	4	4	3.666666746	5	5	3	4.333333492	1	5	5	3.666666746	5	4	4	4.333333492	5	4	5	4.666666508	1	2	2	1.666666627	5	5	5	5	3	5	5	4.333333492	5	5	5	5	5	5	5	5	0.5	2.4	3	3	5	3	3	4	3.333333333	2.333333333	2	3	2	1	0	0	0	1
37	c	35	1	0	0	0	0	4	0	37.5	2	2	5	4	5	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	4.666666508	4	5	5	4.666666508	5	5	5	5	0.5	3.2	5	3	4	4	4	3.5	3.666666667	1.666666667	3	1	4	2	0	0	0	3
38	c	27	1	1	0	0	0	4	1	60.25	1	3	3	4	4	3.666666746	5	5	5	5	5	4	3	4	3	4	3	3.333333254	3	3	3	3	4	2	1	2.333333254	4	4	2	3.333333254	4	4	3	3.666666746	5	3	3	3.666666746	4	4	4	4	0.5	1.2	3	2	3	3	3	2.5	2.666666667	4	3	1	3	2	0	1	1	1
39	d	56	0	0	1	0	1	2	0	12.5	1	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	2	1.333333373	1	2	1	1.333333373	1	2	1	1.333333373	1	1	2	1.333333373	1	1	1	1	1	1	1	1	1	1	1	1	0.5	2.4	3	4	3	3	3	3.5	3	3.490861619	1	3	1	3	1	1	1	0
40	b	70	0	1	0	0	0	4	0	12.5	1	1	5	5	5	5	3	1	4	2.666666746	5	5	5	5	5	5	5	5	1	5	1	2.333333254	2	1	1	1.333333373	5	4	3	4	5	4	3	4	5	4	3	4	5	4	3	4	0.75	2	5	1	1	3	3	1	3	1.666666667	3	3	3	1	0	0	0	0
41	d	66	0	1	0	0	0	5	1	12.5	1	1	2	3	2	2.333333254	5	3	4	4	3	3	3	3	2	2	2	2	5	4	4	4.333333492	1	3	2	2	3	3	2	2.666666746	3	2	3	2.666666746	3	2	3	2.666666746	3	2	3	2.666666746	1	3	3	1	1	3	3	1	3	4	2	3	2	1	1	0	1	1
42	b	62	0	0	1	0	1	5	0	12.5	1	1	4	4	5	4.333333492	4	5	4	4.333333492	5	4	4	4.333333492	4	4	3	3.666666746	4	4	3	3.666666746	4	4	3	3.666666746	3	4	2	3	3	1	1	1.666666627	4	2	2	2.666666746	3	2	2	2.333333254	0.5	2.2	4	4	5	2	3	4.5	2.666666667	2.157528285	2	3	2	3	0	0	0	0
43	c	61	0	1	0	0	1	4	0	12.5	1	1	4	4	4	4	5	5	3	4.333333492	5	5	5	5	4	4	4	4	4	4	4	4	4	3	2	3	4	4	4	4	3	3	3	3	4	4	4	4	4	3	3	3.333333254	0.75	2	3	1	1	2	3	1	2.666666667	1	3	3	3	1	1	1	1	1
44	b	68	0	1	0	0	0	3	0	60.25	1	3	5	5	4	4.666666508	5	5	4	4.666666508	5	5	5	5	5	5	4	4.666666508	5	5	5	5	4	4	2	3.333333254	5	5	5	5	1	4	3	2.666666746	4	4	3	3.666666746	4	4	4	4	0.5	2.8	4	3	2	2	3	2.5	3	1	2	3	2	1	0	0	0	0
45	d	26	1	1	0	0	0	5	0	60.25	1	3	3	4	4	3.666666746	4	4	4	4	3	4	4	3.666666746	3	4	4	3.666666746	5	3	5	4.333333492	4	4	3	3.666666746	5	5	4	4.666666508	5	4	3	4	2	2	5	3	4	4	2	3.333333254	1	3.6	4	5	4	3	4	4.5	3.666666667	3.157528285	2	1	2	2	0	0	0	3
46	e	51	0	0	0	1	1	5	0	37.5	1	2	5	5	5	5	5	5	4	4.666666508	5	5	5	5	5	5	3	4.333333492	3	5	4	4	3	5	3	3.666666746	4	4	5	4.333333492	5	5	4	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	0.75	4.8	5	1	1	1	3	1	3	1.333333333	2	2	2	4	0	0	0	2
47	e	61	0	1	0	0	0	5	0	37.5	1	2	5	4	5	4.666666508	4	4	2	3.333333254	5	5	5	5	5	5	4	4.666666508	1	5	3	3	1	1	3	1.666666627	5	5	5	5	5	4	5	4.666666508	5	4	5	4.666666508	5	4	5	4.666666508	1	2.8	4	1	1	3	4	1	3.666666667	1.333333333	2	3	2	1	0	0	0	0
48	e	69	1	1	0	0	1	4	1	125	1	5	1	2	2	1.666666627	4	4	4	4	4	4	3	3.666666746	4	4	4	4	4	4	4	4	4	4	2	3.333333254	4	4	4	4	3	1	1	1.666666627	2	1	1	1.333333373	4	2	2	2.666666746	0.75	3.4	4	4	4	4	3	4	3	4	3	3	3	2	0	0	0	0
50	d	32	0	1	0	0	1	3	1	12.5	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3.333333254	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.25	3	3	3	3	3	3	3	3	5.333333333	2	1	2	1	0	0	0	2
51	c	56	0	1	0	0	0	5	0	12.5	1	1	3	5	3	3.666666746	4	5	4	4.333333492	4	4	3	3.666666746	3	3	3	3	3	3	2	2.666666746	2	2	3	2.333333254	4	5	2	3.666666746	4	3	3	3.333333254	4	3	4	3.666666746	4	3	3	3.333333254	0.5	2.2	4	4	4	2	2	4	2	4.490861619	2	3	2	1	1	0	1	0
52	e	60	0	1	0	0	0	4	1	12.5	1	1	2	4	1	2.333333254	5	4	4	4.333333492	5	5	4	4.666666508	5	4	4	4.333333492	5	4	4	4.333333492	4	4	3	3.666666746	5	5	4	4.666666508	4	4	4	4	4	4	4	4	4	4	4	4	0.5	4.2	3	5	5	4	4	5	4	4.666666667	3	3	3	5	0	0	0	2
53	d	44	0	1	0	0	0	5	0	37.5	1	2	3	3	2	2.666666746	5	5	4	4.666666508	3	4	4	3.666666746	4	4	4	4	3	3	3	3	2	3	3	2.666666746	5	5	5	5	3	3	3	3	3	3	3	3	4	4	4	4	0.75	2.8	3	2	4	3	3	3	3	2.490861619	2	2	2	1	1	1	1	1
54	d	63	0	0	1	0	0	5	0	12.5	1	1	4	4	5	4.333333492	5	5	5	5	5	4	5	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	5	4	5	4.666666508	3	3	3	3	3	3	3	3	4	3	3	3.333333254	0.25	3	4	5	5	4	4	5	4	1.333333333	2	3	2	3	0	0	0	2
55	d	63	0	1	0	0	0	2	1	60.25	1	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.5	3	3	3	3	3	3	3	3	4.333333333	1	3	1	1	1	0	1	2
56	a	66	0	1	0	0	0	2	0	12.5	2	1	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4.666666508	5	5	5	5	4	3	3	3.333333254	4	3	3	3.333333254	4	3	4	3.666666746	0.5	1.4	4	5	5	3	3	5	3	3.157528285	1	3	1	1	1	1	1	2
57	d	21	0	1	0	0	0	3	0	37.5	1	2	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	3	4	4	3.666666746	4	4	4	4	1	2.8	3	3	2	3	2	2.5	2.666666667	3	2	1	2	1	0	0	0	2
58	d	59	0	0	1	0	0	3	0	60.25	1	3	4	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.5	3	3	3	3	3	3	3	3	2	2	3	2	3	0	0	0	2
59	d	73	1	0	1	0	0	4	0	60.25	1	3	4	5	5	4.666666508	5	4	4	4.333333492	5	5	5	5	3	3	3	3	2	4	3	3	3	2	2	2.333333254	3	3	2	2.666666746	4	2	3	3	5	3	3	3.666666746	3	2	3	2.666666746	0.5	1	4	1	1	2	3	1	3	1.666666667	3	4	3	3	0	0	0	0
60	b	66	0	1	0	0	1	6	0	37.5	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4.333333492	5	3	1	3	5	5	5	5	5	5	4	4.666666508	5	5	4	4.666666508	5	5	5	5	0.75	2.8	5	1	5	3	3	3	3.333333333	1	3	3	3	1	0	0	0	1
61	e	53	0	0	0	0	1	3	0	60.25	1	3	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	3.666666746	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	3	2	3	2	0	0	0	0	4
62	e	34	0	1	0	0	1	6	1	125	3	5	3	5	2	3.333333254	5	5	5	5	4	5	4	4.333333492	3	4	4	3.666666746	4	4	3	3.666666746	5	5	5	5	4	4	4	4	5	4	4	4.333333492	4	5	5	4.666666508	4	4	5	4.333333492	0.25	5	4	4	4	5	5	4	5	3.333333333	3	1	3	1	0	0	0	4
63	c	57	0	1	0	0	1	4	0	12.5	1	1	5	4	4	4.333333492	4	4	5	4.333333492	5	5	4	4.666666508	4	4	3	3.666666746	5	4	3	4	4	4	3	3.666666746	4	5	5	4.666666508	4	3	5	4	5	2	4	3.666666746	4	3	4	3.666666746	0.25	3.8	5	3	4	2	2	3.5	2	2.666666667	3	3	3	1	0	1	1	3
64	b	45	0	1	0	0	1	6	1	37.5	1	2	1	1	1	1	5	5	5	5	1	4	5	3.333333254	3	3	1	2.333333254	4	4	3	3.666666746	4	4	1	3	3	4	1	2.666666746	1	1	1	1	1	1	1	1	1	1	1	1	0.75	3.4	1	5	5	3	3	5	2.333333333	5.333333333	3	2	3	1	0	0	0	2
65	d	50	0	1	0	0	0	1	1	37.5	1	2	3	2	3	2.666666746	5	5	4	4.666666508	5	4	4	4.333333492	3	3	3	3	4	2	3	3	4	3	2	3	5	5	3	4.333333492	4	4	4	4	3	3	3	3	4	3	4	3.666666746	0.25	2.8	4	4	4	2	3	4	2.333333333	3.666666667	1	2	1	1	0	0	0	2
66	d	46	0	1	0	0	0	6	0	125	1	5	4	3	4	3.666666746	5	4	4	4.333333492	4	4	5	4.333333492	5	5	5	5	4	5	4	4.333333492	5	3	3	3.666666746	5	5	5	5	4	3	3	3.333333254	4	3	3	3.333333254	4	3	3	3.333333254	0.5	2.2	3	1	1	1	3	1	2.666666667	2.824194952	3	2	3	1	0	0	0	2
67	d	48	0	0	1	0	0	5	0	37.5	1	2	3	4	3	3.333333254	4	4	3	3.666666746	3	3	4	3.333333254	3	3	4	3.333333254	3	3	4	3.333333254	4	4	3	3.666666746	4	3	4	3.666666746	3	3	3	3	3	3	3	3	3	3	3	3	0.25	2.4	3	4	4	4	3	4	3.333333333	3.490861619	2	2	2	3	0	0	0	0
68	a	51	0	0	0	1	0	4	1	37.5	1	2	4	4	3	3.666666746	5	5	5	5	4	5	5	4.666666508	3	5	4	4	3	3	3	3	3	3	4	3.333333254	5	5	3	4.333333492	4	3	4	3.666666746	4	3	5	4	4	3	4	3.666666746	0.5	2	4	4	4	3	3	4	3	3.666666667	3	2	3	4	0	0	0	1
69	b	59	1	1	0	0	0	4	0	37.5	1	2	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4.333333492	4	3	3	3.333333254	5	5	4	4.666666508	3	3	3	3	4	3	4	3.666666746	4	3	3	3.333333254	0.25	1.6	4	4	4	2	3	4	2.666666667	2.824194952	3	3	3	2	0	0	0	0
70	d	69	0	1	0	0	0	5	0	12.5	3	1	5	5	5	5	3	5	3	3.666666746	5	4	5	4.666666508	5	5	5	5	5	5	3	4.333333492	3	3	3	3	5	5	5	5	3	5	5	4.333333492	5	5	5	5	5	5	5	5	0.75	3	1	4	4	3	1	4	2.666666667	2.490861619	2	3	2	1	1	0	1	3
71	e	53	0	1	0	0	0	5	0	37.5	1	2	4	5	5	4.666666508	5	5	4	4.666666508	5	5	5	5	5	5	4	4.666666508	3	4	4	3.666666746	5	3	3	3.666666746	5	5	4	4.666666508	3	2	2	2.333333254	4	2	2	2.666666746	4	2	2	2.666666746	0.75	1.8	3	2	4	3	3	3	3.333333333	2.333333333	2	3	2	1	1	1	1	0
72	e	33	0	1	0	0	0	4	0	87.5	2	4	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	3	3	1	4	1	1	1	1	4
73	e	59	0	1	0	0	1	5	0	12.5	1	1	5	5	5	5	2	4	4	3.333333254	4	5	4	4.333333492	4	4	4	4	3	4	3	3.333333254	3	2	1	2	4	5	5	4.666666508	4	3	3	3.333333254	4	3	4	3.666666746	3	3	2	2.666666746	0.5	2.8	3	1	1	4	4	1	4	1	2	3	2	1	0	0	0	0
74	c	62	0	1	0	0	0	4	0	125	1	5	4	5	4	4.333333492	5	5	4	4.666666508	4	4	4	4	4	4	4	4	2	1	3	2	2	2	2	2	4	4	4	4	4	3	3	3.333333254	4	1	3	2.666666746	4	1	3	2.666666746	1	1	3	2	4	3	3	3	3	1.666666667	3	3	4	1	0	0	0	0
75	c	69	0	1	0	0	0	5	0	37.5	1	2	4	5	5	4.666666508	5	4	4	4.333333492	5	5	5	5	5	5	5	5	4	5	4	4.333333492	3	2	2	2.333333254	5	5	4	4.666666508	5	3	4	4	5	4	4	4.333333492	4	4	4	4	1	4	5	1	2	2	3	1.5	3	2.333333333	2	3	2	1	0	0	0	1
76	d	31	0	0	0	1	0	4	0	60.25	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	3	3	2	3	3.157528285	3	1	4	4	0	0	0	2
77	d	48	1	1	0	0	0	2	1	125	1	5	4	5	4	4.333333492	4	5	5	4.666666508	3	5	5	4.333333492	5	5	5	5	4	5	3	4	5	5	1	3.666666746	5	5	5	5	3	4	3	3.333333254	4	5	4	4.333333492	5	5	5	5	0.25	3.4	4	5	5	5	2	5	3	5	1	2	1	2	0	0	0	4
78	d	49	1	0	0	0	1	2	1	12.5	1	1	3	3	3	3	5	4	4	4.333333492	3	4	3	3.333333254	4	3	4	3.666666746	4	5	3	4	3	4	3	3.333333254	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.75	2.8	3	1	5	3	4	3	3.333333333	3	1	2	1	2	0	0	0	0
